'', 'time', 'frame', 'subF', '1stSym', 'symbol#', 'cellId', 'rnti', 'ccId', 'tbSize', 'mcs', 'rv', 'SINR(dB)', 'corrupt', 'TBler'
'DL', '0.00310832', '3', '1', '1', '1', '1', '1', '0', '48', '0', '0', '-0.402682', '0', '0'
'DL', '0.00400832', '4', '0', '1', '1', '1', '1', '0', '120', '4', '0', '-0.933249', '0', '7.84972e-09'
'DL', '0.0231083', '23', '1', '1', '1', '1', '1', '0', '48', '0', '0', '-0.592082', '0', '0'
'DL', '0.0240083', '24', '0', '1', '1', '1', '1', '0', '120', '4', '0', '-0.10865', '0', '3.87397e-09'
'DL', '0.0313416', '31', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.91327', '0', '3.56329e-09'
'DL', '0.0413416', '41', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.376265', '0', '0'
'DL', '0.0513291', '51', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '0.405565', '0', '0'
'DL', '0.0613291', '61', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.818657', '1', '0.848041'
'DL', '0.0713416', '71', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-2.21633', '0', '0.016324'
'DL', '0.0813416', '81', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.967999', '0', '0'
'DL', '0.0913416', '91', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '0.142528', '0', '0'
'DL', '0.101329', '101', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.0854949', '1', '0.868782'
'DL', '0.111342', '111', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.64327', '0', '0'
'DL', '0.121342', '121', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-2.29098', '0', '3.1008e-05'
'DL', '0.131342', '131', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-2.12559', '0', '0.00146022'
'DL', '0.141342', '141', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.491677', '0', '0'
'DL', '0.151342', '151', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.0827637', '0', '0'
'DL', '0.161329', '161', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-1.43505', '1', '1'
'DL', '0.171342', '171', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-2.60232', '0', '3.88224e-07'
'DL', '0.181342', '181', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.18645', '0', '0'
'DL', '0.191342', '191', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.020202', '0', '0'
'DL', '0.201342', '201', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-2.24964', '0', '2.14011e-05'
'DL', '0.211342', '211', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-2.00866', '0', '7.50511e-14'
'DL', '0.221342', '221', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-2.1597', '0', '1.43697e-09'
'DL', '0.231342', '231', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-2.34514', '0', '0.000377323'
'DL', '0.241342', '241', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-2.30247', '0', '1.06646e-06'
'DL', '0.251342', '251', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-2.08239', '0', '6.35647e-12'
'DL', '0.261342', '261', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.9693', '0', '6.10623e-13'
'DL', '0.271342', '271', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-2.2493', '0', '1.41471e-08'
'DL', '0.281342', '281', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-2.32812', '0', '1.01718e-05'
'DL', '0.291342', '291', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-2.09844', '0', '1.69726e-11'
'DL', '0.301342', '301', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '0.903187', '0', '0'
'DL', '0.311329', '311', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '0.644455', '0', '5.55074e-10'
'DL', '0.321329', '321', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.202897', '0', '7.70242e-07'
'DL', '0.331329', '331', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '0.156129', '0', '1.72971e-11'
'DL', '0.341329', '341', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-1.03319', '1', '0.999955'
'DL', '0.351342', '351', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.380244', '0', '0'
'DL', '0.361329', '361', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.131067', '0', '0.00349341'
'DL', '0.371329', '371', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '0.0923758', '0', '1.43219e-13'
'DL', '0.381329', '381', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '0.235217', '0', '0'
'DL', '0.391329', '391', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.975771', '1', '1'
'DL', '0.401342', '401', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '0.365616', '0', '0'
'DL', '0.411329', '411', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '0.363102', '0', '0.424046'
'DL', '0.421342', '421', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '1.05401', '0', '0'
'DL', '0.431329', '431', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '1.31072', '0', '0'
'DL', '0.441329', '441', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-1.50933', '1', '1'
'DL', '0.451342', '451', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '0.950205', '0', '0'
'DL', '0.461329', '461', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '1.40172', '0', '0'
'DL', '0.471329', '471', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.523953', '0', '0.0161277'
'DL', '0.481329', '481', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.592121', '0', '0.459355'
'DL', '0.491342', '491', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.30898', '0', '0'
'DL', '0.501342', '501', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.168723', '0', '0'
'DL', '0.511329', '511', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '2.04747', '0', '0'
'DL', '0.521321', '521', '3', '1', '4', '1', '1', '0', '1131', '8', '0', '1.496', '0', '0.3525'
'DL', '0.531329', '531', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '0.643923', '0', '0'
'DL', '0.541329', '541', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.887717', '1', '0.996376'
'DL', '0.551342', '551', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.0192517', '0', '0'
'DL', '0.561329', '561', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '0.57078', '0', '0'
'DL', '0.571329', '571', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.664938', '1', '1'
'DL', '0.581342', '581', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '0.924635', '0', '0'
'DL', '0.591329', '591', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.445744', '0', '0.0383264'
'DL', '0.601329', '601', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-7.61947', '1', '1'
'DL', '0.611692', '611', '6', '1', '21', '1', '1', '0', '1079', '0', '0', '-7.94122', '1', '1'
'DL', '0.621992', '621', '9', '1', '21', '1', '1', '0', '1079', '0', '0', '-7.77765', '1', '1'
'DL', '0.632292', '632', '2', '1', '21', '1', '1', '0', '1079', '0', '0', '-7.8795', '1', '1'
'DL', '0.642592', '642', '5', '1', '21', '1', '1', '0', '1079', '0', '0', '-7.72966', '1', '1'
'DL', '0.652892', '652', '8', '1', '21', '1', '1', '0', '1079', '0', '0', '-7.53556', '1', '0.999923'
'DL', '0.663192', '663', '1', '1', '21', '1', '1', '0', '1079', '0', '0', '-8.03135', '1', '1'
'DL', '0.673492', '673', '4', '1', '21', '1', '1', '0', '1079', '0', '0', '-7.82333', '1', '1'
'DL', '0.683792', '683', '7', '1', '21', '1', '1', '0', '1079', '0', '0', '-7.49364', '1', '0.999932'
'DL', '0.694092', '694', '0', '1', '21', '1', '1', '0', '1079', '0', '0', '-7.81576', '1', '1'
'DL', '0.704392', '704', '3', '1', '21', '1', '1', '0', '1079', '0', '0', '-0.743624', '0', '0'
'DL', '0.711329', '711', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '0.340402', '0', '0'
'DL', '0.721329', '721', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-3.03924', '1', '1'
'DL', '0.731371', '731', '3', '1', '16', '1', '1', '0', '1131', '2', '0', '-3.2331', '0', '0'
'DL', '0.741371', '741', '3', '1', '16', '1', '1', '0', '1131', '2', '0', '0.326519', '0', '0'
'DL', '0.751329', '751', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-1.76542', '1', '1'
'DL', '0.761342', '761', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-4.35663', '1', '1'
'DL', '0.771371', '771', '3', '1', '16', '1', '1', '0', '1131', '2', '0', '-0.00151975', '0', '0'
'DL', '0.781329', '781', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.717551', '0', '0.0305932'
'DL', '0.791329', '791', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-4.89244', '1', '1'
'DL', '0.801371', '801', '3', '1', '16', '1', '1', '0', '1131', '2', '0', '0.338877', '0', '0'
'DL', '0.811329', '811', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-2.67928', '1', '1'
'DL', '0.821342', '821', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.970693', '0', '0'
'DL', '0.831342', '831', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.04572', '0', '0'
'DL', '0.841342', '841', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.61764', '0', '0'
'DL', '0.851342', '851', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.70822', '0', '0'
'DL', '0.861342', '861', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-2.08325', '0', '3.05533e-13'
'DL', '0.871342', '871', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.23954', '0', '0'
'DL', '0.881342', '881', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-2.34059', '0', '7.96255e-10'
'DL', '0.891342', '891', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.453773', '0', '0'
'DL', '0.901342', '901', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.750951', '0', '0'
'DL', '0.911342', '911', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.780339', '0', '0'
'DL', '0.921342', '921', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.143111', '0', '0'
'DL', '0.931329', '931', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-1.3013', '1', '1'
'DL', '0.941342', '941', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.589664', '0', '0'
'DL', '0.951342', '951', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.601492', '0', '0'
'DL', '0.961342', '961', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.42809', '0', '0'
'DL', '0.971342', '971', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.437526', '0', '0'
'DL', '0.981342', '981', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.24969', '0', '0'
'DL', '0.991342', '991', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.943229', '0', '0'
