Time,UE,CurXPos,CurYPos,CurZPos,CurXVel,CurYVel,CurZVel,CalcClosestENB,CalcClosestEnbDist,enbX,enbY,enbZ
0,9,51.0891,30.5572,87.2618,-3.86626,7.49114,0.0410314,1,92.4638,50,0,0
0.01,9,51.0505,30.6321,87.2622,-3.86626,7.49114,0.0410314,1,92.4885,50,0,0
0.02,9,51.0118,30.707,87.2626,-3.86626,7.49114,0.0410314,1,92.5133,50,0,0
0.03,9,50.9731,30.7819,87.263,-3.86626,7.49114,0.0410314,1,92.5381,50,0,0
0.04,9,50.9345,30.8568,87.2634,-3.86626,7.49114,0.0410314,1,92.5631,50,0,0
0.05,9,50.8958,30.9318,87.2638,-3.86626,7.49114,0.0410314,1,92.5881,50,0,0
0.06,9,50.8571,31.0067,87.2642,-3.86626,7.49114,0.0410314,1,92.6132,50,0,0
0.07,9,50.8185,31.0816,87.2647,-3.86626,7.49114,0.0410314,1,92.6383,50,0,0
0.08,9,50.7798,31.1565,87.2651,-3.86626,7.49114,0.0410314,1,92.6635,50,0,0
0.09,9,50.7412,31.2314,87.2655,-3.86626,7.49114,0.0410314,1,92.6888,50,0,0
0.1,9,50.7025,31.3063,87.2659,-3.86626,7.49114,0.0410314,1,92.7142,50,0,0
0.11,9,50.6638,31.3812,87.2663,-3.86626,7.49114,0.0410314,1,92.7396,50,0,0
0.12,9,50.6252,31.4561,87.2667,-3.86626,7.49114,0.0410314,1,92.7651,50,0,0
0.13,9,50.5865,31.531,87.2671,-3.86626,7.49114,0.0410314,1,92.7906,50,0,0
0.14,9,50.5478,31.606,87.2675,-3.86626,7.49114,0.0410314,1,92.8163,50,0,0
0.15,9,50.5092,31.6809,87.2679,-3.86626,7.49114,0.0410314,1,92.842,50,0,0
0.16,9,50.4705,31.7558,87.2683,-3.86626,7.49114,0.0410314,1,92.8677,50,0,0
0.17,9,50.4319,31.8307,87.2688,-3.86626,7.49114,0.0410314,1,92.8936,50,0,0
0.18,9,50.3932,31.9056,87.2692,-3.86626,7.49114,0.0410314,1,92.9195,50,0,0
0.19,9,50.3545,31.9805,87.2696,-3.86626,7.49114,0.0410314,1,92.9455,50,0,0
0.2,9,50.3159,32.0554,87.27,-3.86626,7.49114,0.0410314,1,92.9715,50,0,0
0.21,9,50.2772,32.1303,87.2704,-3.86626,7.49114,0.0410314,1,92.9976,50,0,0
0.22,9,50.2385,32.2053,87.2708,-3.86626,7.49114,0.0410314,1,93.0238,50,0,0
0.23,9,50.1999,32.2802,87.2712,-3.86626,7.49114,0.0410314,1,93.0501,50,0,0
0.24,9,50.1612,32.3551,87.2716,-3.86626,7.49114,0.0410314,1,93.0764,50,0,0
0.25,9,50.1226,32.43,87.272,-3.86626,7.49114,0.0410314,1,93.1028,50,0,0
0.26,9,50.0839,32.5049,87.2725,-3.86626,7.49114,0.0410314,1,93.1292,50,0,0
0.27,9,50.0452,32.5798,87.2729,-3.86626,7.49114,0.0410314,1,93.1558,50,0,0
0.28,9,50.0066,32.6547,87.2733,-3.86626,7.49114,0.0410314,1,93.1824,50,0,0
0.29,9,49.9679,32.7296,87.2737,-3.86626,7.49114,0.0410314,1,93.209,50,0,0
0.3,9,49.9292,32.8045,87.2741,-3.86626,7.49114,0.0410314,1,93.2358,50,0,0
0.31,9,49.8906,32.8795,87.2745,-3.86626,7.49114,0.0410314,1,93.2626,50,0,0
0.32,9,49.8519,32.9544,87.2749,-3.86626,7.49114,0.0410314,1,93.2895,50,0,0
0.33,9,49.8133,33.0293,87.2753,-3.86626,7.49114,0.0410314,1,93.3164,50,0,0
0.34,9,49.7746,33.1042,87.2757,-3.86626,7.49114,0.0410314,1,93.3434,50,0,0
0.35,9,49.7359,33.1791,87.2761,-3.86626,7.49114,0.0410314,1,93.3705,50,0,0
0.36,9,49.6973,33.254,87.2766,-3.86626,7.49114,0.0410314,1,93.3976,50,0,0
0.37,9,49.6586,33.3289,87.277,-3.86626,7.49114,0.0410314,1,93.4248,50,0,0
0.38,9,49.6199,33.4038,87.2774,-3.86626,7.49114,0.0410314,1,93.4521,50,0,0
